url,artist,name,chartMax,chartCount,danceability,energy,camelot,loudness,mode,speechiness,acousticness,instrumentalness,liveness,bpm,signature,duration,spotify,chartYear,popularity,release_date,image/height,image/url,image/width,songplay,n1
spotify:track:1ojBtNRMzjL7ptLPZCzfRz,"Kevin Gates, Juicy J",Thinking with My Dick (feat. Juicy J),128,2,0.77,0.699,0,-6.59,1,0.199,0.0596,0,0.17,81.003,4,165315,TRUE,2022,69,7/16/2013,640,https://i.scdn.co/image/ab67616d0000b273648c824765ffe493d9947b62,640,https://p.scdn.co/mp3-preview/b224b12cbc33d4ba776dda4482f246ba0e509db2?cid=774b29d4f13844c495f206cafdad9c86,Thinking with My Dick (feat. Juicy J)
spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,1,269,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,95.977,4,233713,TRUE,2022,85,3/3/2017,640,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,640,https://p.scdn.co/mp3-preview/09e92af512355474ccf074988ea208ce6eb90a2b?cid=774b29d4f13844c495f206cafdad9c86,Shape of You
spotify:track:0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Nights,44,54,0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,125.983,4,176658,TRUE,2022,85,1/1/2014,640,https://i.scdn.co/image/ab67616d0000b2730ae4f4d42e4a09f3a29f64ad,640,https://p.scdn.co/mp3-preview/c29275fe1e3b88c7e9d327aa20319b0099ae3583?cid=774b29d4f13844c495f206cafdad9c86,The Nights
spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,"Coolio, L.V.",Gangsta's Paradise,116,22,0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,79.975,4,240693,TRUE,2022,87,11/7/1995,640,https://i.scdn.co/image/ab67616d0000b273c31d3c870a3dbaf7b53186cc,640,https://p.scdn.co/mp3-preview/ee6e8e88dde3d296bcb3f2f6988f3cc9c5ae17a8?cid=774b29d4f13844c495f206cafdad9c86,Gangsta's Paradise
spotify:track:6K5ph5mq1qprHae3TrgTj5,Jessica Darrow,"Surface Pressure - From ""Encanto""/Soundtrack Version",23,12,0.652,0.583,2,-8.302,1,0.322,0.0165,0.00000165,0.042,180.042,4,202227,TRUE,2022,56,1/27/2022,640,https://i.scdn.co/image/ab67616d0000b273ffdbf66f7a8741f84a6c4b6d,640,https://p.scdn.co/mp3-preview/48deba6115208d00293cd9ecb873c700f0f95461?cid=774b29d4f13844c495f206cafdad9c86,"Surface Pressure - From ""Encanto""/Soundtrack Version"
spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Riptide,122,64,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,101.654,4,204280,TRUE,2022,81,9/8/2014,640,https://i.scdn.co/image/ab67616d0000b273d3ce97395ff522b0d70c1094,640,https://p.scdn.co/mp3-preview/fe5f6f3eeac1720c920f67eedfe899ccf900a819?cid=774b29d4f13844c495f206cafdad9c86,Riptide
spotify:track:0W6I02J9xcqK8MtSeosEXb,Doja Cat,Get Into It (Yuh),36,34,0.912,0.655,8,-6.029,0,0.162,0.315,0,0.0894,91.942,4,138293,TRUE,2022,79,6/25/2021,640,https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321,640,https://p.scdn.co/mp3-preview/3d8fcbd6ffac8fedc4b6f9cb6cc32ea73cc06295?cid=774b29d4f13844c495f206cafdad9c86,Get Into It (Yuh)
spotify:track:6f5ExP43esnvdKPddwKXJH,"NEIKED, Mae Muller, Polo G",Better Days (NEIKED x Mae Muller x Polo G),32,23,0.717,0.671,0,-5.077,0,0.0337,0.0018,0.00000254,0.0921,110.054,4,160657,TRUE,2022,80,9/24/2021,640,https://i.scdn.co/image/ab67616d0000b2736b742298f7f36717855c4caf,640,https://p.scdn.co/mp3-preview/5b8a98b19e5fcca99dc880f865b8df70744bd444?cid=774b29d4f13844c495f206cafdad9c86,Better Days (NEIKED x Mae Muller x Polo G)
spotify:track:4u7EnebtmKWzUH433cf5Qv,Queen,Bohemian Rhapsody - Remastered 2011,11,182,0.414,0.404,0,-9.928,0,0.0499,0.271,0,0.3,71.105,4,354320,TRUE,2022,81,11/21/1975,640,https://i.scdn.co/image/ab67616d0000b273e319baafd16e84f0408af2a0,640,https://p.scdn.co/mp3-preview/920986cd9fb5b23bd0b61110f586cfc45caae7bb?cid=774b29d4f13844c495f206cafdad9c86,Bohemian Rhapsody - Remastered 2011
spotify:track:48QmG1dfvMuYLxMPt7KSRA,"Sean Paul, Dua Lipa",No Lie,80,34,0.742,0.882,7,-2.862,1,0.117,0.0466,0,0.206,102.04,4,221176,TRUE,2022,82,6/29/2018,640,https://i.scdn.co/image/ab67616d0000b2732d564195ed3dd7b70d64862c,640,https://p.scdn.co/mp3-preview/844dafd03c3191e7fdce735b8a35bb824f1de948?cid=774b29d4f13844c495f206cafdad9c86,No Lie
