track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,uri,popularity,release_date,image/height,image,image/width,songplay,url,n1
"Hey, Soul Sister",LANDR,41,"Hey, Soul Sister",41,0.642,0.725,-7.89,1,11,0.0571,0.192,0,0.153,0.134,105.101,4,196583,spotify:track:3lVFjNThz9yEdTPrI8HyEa,35,2021-04-09,640,https://i.scdn.co/image/ab67616d0000b2735e12754359fdc58e9de3b02d,640,https://p.scdn.co/mp3-preview/af07fa05539558be3d267474655469ec094d4534?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:3lVFjNThz9yEdTPrI8HyEa,"Hey, Soul Sister"
Later Bitches,The Prince Karma,50,Later Bitches,49,0.769,0.518,-6.563,1,8,0.102,0.000573,0.108,0.342,0.504,121.116,4,247976,spotify:track:2UqYHXtJ0qLzd3fajJ7HSb,61,2018-05-25,640,https://i.scdn.co/image/ab67616d0000b273d40c3b2ae0931b7da2121d9b,640,https://p.scdn.co/mp3-preview/e7dc28ec1161272849fa0e928f65a37f381e7697?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:2UqYHXtJ0qLzd3fajJ7HSb,Later Bitches
Life Is Good (feat. Drake),Future,87,Life Is Good (feat. Drake),77,0.676,0.609,-5.831,0,2,0.481,0.0706,0,0.152,0.508,142.037,4,237735,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,76,2020-01-10,640,https://i.scdn.co/image/ab67616d0000b2738a01c7b77a34378a62f46402,640,https://p.scdn.co/mp3-preview/c5726e26726e1621138f51f3997c942615289177?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake)
WHATS POPPIN,Jack Harlow,84,WHATS POPPIN,4,0.923,0.604,-6.671,0,11,0.245,0.017,0,0.272,0.826,145.062,4,139741,spotify:track:1jaTQ3nqY3oAAYyCTbIvnM,76,2020-03-13,640,https://i.scdn.co/image/ab67616d0000b27305a448540b069450ccfba889,640,https://p.scdn.co/mp3-preview/a31372dcd8cd374c43df3e229272f73032a43cec?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:1jaTQ3nqY3oAAYyCTbIvnM,WHATS POPPIN
Let Her Go,LANDR,41,Let Her Go,44,0.712,0.803,-7.206,1,7,0.0276,0.00537,9.81e-05,0.307,0.308,120.018,4,201005,spotify:track:2nejEeai3PQKiS7q11v0mq,37,2020-12-25,640,https://i.scdn.co/image/ab67616d0000b273a57ce37d5203ef2f1c5005f1,640,https://p.scdn.co/mp3-preview/989e3387414307239b4668e07104914bff7144a4?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:2nejEeai3PQKiS7q11v0mq,Let Her Go
Sunday Best,Surfaces,71,Where the Light Is,77,0.878,0.525,-6.832,1,5,0.0578,0.183,0,0.0714,0.694,112.022,4,158571,spotify:track:1Cv1YLb4q0RzL6pybtaMLo,75,2019-01-06,640,https://i.scdn.co/image/ab67616d0000b2733667dc27da7b24360d6050d0,640,https://p.scdn.co/mp3-preview/985b0520becd124b35decd2ca09a91badec1c053?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:1Cv1YLb4q0RzL6pybtaMLo,Sunday Best
DÁKITI,Dame Dame,48,DÁKITI,47,0.726,0.815,-5.092,0,4,0.101,0.206,0,0.631,0.627,121.975,4,147367,spotify:track:4jK8BJWT0DBwTGZeVuhMpI,45,2021-03-05,640,https://i.scdn.co/image/ab67616d0000b273e434bd89bc2fc877fc6141f4,640,https://p.scdn.co/mp3-preview/a828b4cb8ae53c1be013f2aa35a9388c6d8001d3?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:4jK8BJWT0DBwTGZeVuhMpI,DÁKITI
Say So,Doja Cat,88,Hot Pink,80,0.787,0.673,-4.583,0,11,0.159,0.264,3.35e-06,0.0904,0.779,110.962,4,237893,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,78,2019-11-07,640,https://i.scdn.co/image/ab67616d0000b27382b243023b937fd579a35533,640,https://p.scdn.co/mp3-preview/3f681c49542f4a1214b33a065cace7007a307465?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,Say So
In Your Eyes,The Weeknd,93,After Hours,79,0.667,0.719,-5.371,0,7,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,4,237520,spotify:track:7szuecWAPwGoV1e5vGu8tl,78,2020-03-20,640,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,640,https://p.scdn.co/mp3-preview/f13dd2365911a6dbb940acef6c0557ca664e623e?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:7szuecWAPwGoV1e5vGu8tl,In Your Eyes
Falling,Trevor Daniel,66,Falling,15,0.785,0.431,-8.756,0,10,0.0364,0.123,0,0.0887,0.236,127.085,4,159382,spotify:track:26XaOsDMbl0e1cVKYfkz6w,70,2018-10-05,640,https://i.scdn.co/image/ab67616d0000b273f3508855e1fd44d447a3413b,640,https://p.scdn.co/mp3-preview/d0410646d50ff7e8b90908170597cc7a25bacd65?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:26XaOsDMbl0e1cVKYfkz6w,Falling
