track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,uri,popularity,release_date,image/height,image,image/width,songplay,url,n1
Running Up That Hill (A Deal With God),Kate Bush,81,Hounds Of Love,95,0.629,0.547,-13.123,0,10,0.055,0.72,0.00314,0.0604,0.197,108.375,4,298933,spotify:track:29d0nY7TzCoi22XBqDQkiP,82,1985-09-16,640,https://i.scdn.co/image/ab67616d0000b2735c390e413e27798edd4d18b4,640,https://p.scdn.co/mp3-preview/9f110dbdde66d0a4f3151a67dab5b1b61d6770c1?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:29d0nY7TzCoi22XBqDQkiP,Running Up That Hill (A Deal With God) - 2018 Remaster
As It Was,Harry Styles,91,As It Was,96,0.52,0.731,-5.338,0,6,0.0557,0.342,0.00101,0.311,0.662,173.93,4,167303,spotify:track:4LRPiXqCikLlN15c3yImP7,93,2022-03-31,640,https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14,640,https://p.scdn.co/mp3-preview/c871f7a3b36ad708640a833fbf7a0b9e84c5b688?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was
Sunroof,Nicky Youre,73,Sunroof,44,0.768,0.716,-5.11,1,10,0.0404,0.35,0,0.15,0.841,131.43,4,163026,spotify:track:4h4QlmocP3IuwYEj2j14p8,89,2021-12-03,640,https://i.scdn.co/image/ab67616d0000b2730ed2184bf3fb4466d623a874,640,https://p.scdn.co/mp3-preview/7c8b08cc640f6065a2daaf7d92ee49a640d8c4b8?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:4h4QlmocP3IuwYEj2j14p8,Sunroof
Heat Waves,Glass Animals,80,Dreamland (+ Bonus Levels),89,0.761,0.525,-6.9,1,11,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4,238805,spotify:track:3USxtqRwSYz57Ewm6wWRMp,81,2020-08-07,640,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464,640,https://p.scdn.co/mp3-preview/1ac449e52145d1c44dc4346afdb2d8b70e93969b?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:3USxtqRwSYz57Ewm6wWRMp,Heat Waves
About Damn Time,Lizzo,81,About Damn Time,92,0.836,0.743,-6.305,0,10,0.0656,0.0995,0,0.335,0.722,108.966,4,191822,spotify:track:1PckUlxKqWQs3RlWXVBLw3,86,2022-04-14,640,https://i.scdn.co/image/ab67616d0000b273b817e721691aff3d67f26c04,640,https://p.scdn.co/mp3-preview/1e881f08e10f2f8dbac20185389fdacb1ea42342?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:1PckUlxKqWQs3RlWXVBLw3,About Damn Time
Glimpse of Us,Joji,85,Glimpse of Us,97,0.44,0.317,-9.258,1,8,0.0531,0.891,4.78e-06,0.141,0.268,169.914,3,233456,spotify:track:6xGruZOHLs39ZbVccQTuPZ,92,2022-06-10,640,https://i.scdn.co/image/ab67616d0000b27308596cc28b9f5b00bfe08ae7,640,https://p.scdn.co/mp3-preview/071c22f355ed0d03fdc176dcb25a487f5ffb661c?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us
Bad Habit,Steve Lacy,83,Gemini Rights,86,0.686,0.494,-7.093,1,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,4,232067,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,88,2022-07-15,640,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee,640,https://p.scdn.co/mp3-preview/b46cf3781e6cbe5bd01b8a81e333899c7f9cdfc5?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit
STAY (with Justin Bieber),The Kid LAROI,83,STAY (with Justin Bieber),89,0.591,0.764,-5.484,1,1,0.0483,0.0383,0,0.103,0.478,169.928,4,141806,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,87,2021-07-09,640,https://i.scdn.co/image/ab67616d0000b27341e31d6ea1d493dd77933ee5,640,https://p.scdn.co/mp3-preview/40a8daf1f3cbb5c6363e68de859ba4af3377344c?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber)
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,88,Enemy (with JID) [from the series Arcane League of Legends],87,0.728,0.783,-4.424,0,11,0.266,0.237,0,0.434,0.555,77.011,4,173381,spotify:track:3CIyK1V4JEJkg02E4EJnDl,81,2022-07-01,640,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13,640,https://p.scdn.co/mp3-preview/6c8b19c6577e6cd15cac5dc5eb9aaccdb209a4bf?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:3CIyK1V4JEJkg02E4EJnDl,Enemy (with JID) - from the series Arcane League of Legends
First Class,Jack Harlow,84,First Class,89,0.905,0.563,-6.135,1,8,0.102,0.0254,9.71e-06,0.113,0.324,106.998,4,173948,spotify:track:0wHFktze2PHC5jDt3B17DC,82,2022-05-06,640,https://i.scdn.co/image/ab67616d0000b2738e55edb69ca44a25b52b17bb,640,https://p.scdn.co/mp3-preview/ec2263e955b141e70aaa78b0817cf253e74224f8?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:0wHFktze2PHC5jDt3B17DC,First Class
Afraid To Feel,LF SYSTEM,68,Afraid To Feel,86,0.578,0.912,-3.929,1,1,0.114,0.0166,0.00362,0.273,0.68,127.87,4,177525,spotify:track:40SBS57su9xLiE1WqkXOVr,84,2022-05-02,640,https://i.scdn.co/image/ab67616d0000b273ced808ef1567eaf901041438,640,https://p.scdn.co/mp3-preview/127d8691ff65a9c521813cbfb973ac5302b7840f?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:40SBS57su9xLiE1WqkXOVr,Afraid To Feel
Betty (Get Money),Yung Gravy,75,Betty (Get Money),87,0.723,0.772,-6.784,1,1,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,4,146471,spotify:track:4cacyP5c3PMlfnyjpg13xW,83,2022-06-10,640,https://i.scdn.co/image/ab67616d0000b273633674a4e5072dabf5173069,640,https://p.scdn.co/mp3-preview/4218dc80ecd01eeac4f2a98c51ddae595734b4c0?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:4cacyP5c3PMlfnyjpg13xW,Betty (Get Money)
abcdefu,GAYLE,71,abcdefu,87,0.695,0.54,-5.692,1,4,0.0493,0.299,0,0.367,0.415,121.932,4,168602,spotify:track:4fouWK6XVHhzl78KzQ1UjL,84,2021-08-13,640,https://i.scdn.co/image/ab67616d0000b2732842f743ebd32235bceb43d3,640,https://p.scdn.co/mp3-preview/83c53804d9a84bee1cca941679370f0541dd4ca2?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:4fouWK6XVHhzl78KzQ1UjL,abcdefu
Being Good Is Boring,Jena Rose,40,Being Good Is Boring,55,0.767,0.758,-3.191,0,11,0.084,0.0368,0,0.0682,0.844,111.986,4,160982,spotify:track:6UXWq2vWpHeTZlMIFyEWIn,53,2022-07-29,640,https://i.scdn.co/image/ab67616d0000b27334a27a335079bc69f72781b0,640,https://p.scdn.co/mp3-preview/ac20e9f656890d84adb9a7427b4d72a792eb379f?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6UXWq2vWpHeTZlMIFyEWIn,Being Good Is Boring
MIDDLE OF THE NIGHT,Elley Duhé,75,MIDDLE OF THE NIGHT,91,0.41,0.611,-8.271,0,4,0.0467,0.0228,0,0.116,0.0899,185.727,3,184448,spotify:track:58HvfVOeJY7lUuCqF0m3ly,88,2020-01-10,640,https://i.scdn.co/image/ab67616d0000b27353a2e11c1bde700722fecd2e,640,https://p.scdn.co/mp3-preview/01c7e5d3addb5c2f8535145f0136087836882525?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT
Envolver,Anitta,80,Envolver,86,0.812,0.736,-5.421,0,4,0.0833,0.152,0.00254,0.0914,0.396,91.993,4,193806,spotify:track:3IAfUEeaXRX9s9UdKOJrFI,81,2021-11-11,640,https://i.scdn.co/image/ab67616d0000b27332f29a61d5e3c3bb3c7ae510,640,https://p.scdn.co/mp3-preview/784196314fb6965fbe3a326ff543c8dd6e944ab4?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:3IAfUEeaXRX9s9UdKOJrFI,Envolver
AMG,Jt5k,36,AMG,0,0.802,0.509,-6.889,0,10,0.181,0.0283,0,0.307,0.0567,87.849,4,135000,spotify:track:5y5zX8PE47DmeI5g69SKXX,37,2022-08-19,640,https://i.scdn.co/image/ab67616d0000b27340a7487580e77df9e1c45627,640,https://p.scdn.co/mp3-preview/01fb38e161b1c13551ec288367b66fcfba79c247?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:5y5zX8PE47DmeI5g69SKXX,AMG
SNAP,Rosa Linn,74,SNAP,89,0.563,0.639,-8.205,1,0,0.0684,0.107,1.06e-05,0.446,0.518,169.985,4,179551,spotify:track:76OGwb5RA9h4FxQPT33ekc,92,2022-03-19,640,https://i.scdn.co/image/ab67616d0000b2731391b1fdb63da53e5b112224,640,https://p.scdn.co/mp3-preview/a020cbe5950aed4af7a5678260290b54f9bc266a?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:76OGwb5RA9h4FxQPT33ekc,SNAP
Baby Girl,Disco Lines,59,Baby Girl,76,0.73,0.907,-3.72,1,2,0.0606,0.0921,0.114,0.23,0.249,120.968,4,111074,spotify:track:2cSdAkzAf2T4j4aLvx4LLz,78,2022-06-15,640,https://i.scdn.co/image/ab67616d0000b27345e61dc802ecd73217eb5cfc,640,https://p.scdn.co/mp3-preview/a9dfdb6d0c4faec50646ac0bb68af4d9c3ddf7a9?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:2cSdAkzAf2T4j4aLvx4LLz,Baby Girl
Flex On My Ex (with Bankrol Hayden),KillBunk,60,Flex On My Ex (with Bankrol Hayden),57,0.619,0.707,-8.033,1,1,0.099,0.00601,0,0.0946,0.365,85.285,5,166805,spotify:track:0C8yEqa9DemIs3nm5YuzHw,44,2022-07-25,640,https://i.scdn.co/image/ab67616d0000b2735d87777faa794372d2825daf,640,https://p.scdn.co/mp3-preview/997f39a12b321d87027506fe70dba629bb10c713?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:0C8yEqa9DemIs3nm5YuzHw,Flex On My Ex (with Bankrol Hayden)
House of Memories,Panic! At The Disco,78,Death of a Bachelor,86,0.506,0.817,-5.051,0,11,0.0335,0.00272,0,0.0486,0.506,109.952,4,208707,spotify:track:2DgdHcjWmO3qd50RzuBLgZ,84,2016-01-15,640,https://i.scdn.co/image/ab67616d0000b27323152d9337d6c57b116ed13a,640,https://p.scdn.co/mp3-preview/617c372ea21745b87a21e4f251a62c0c723972e7?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:2DgdHcjWmO3qd50RzuBLgZ,House of Memories
The Plan,Arman Aydin,64,The Plan,58,0.812,0.653,-5.849,0,5,0.0361,0.0059,0,0.105,0.864,124.034,4,135484,spotify:track:30N9iQ35AyTPQXDdoNus8u,55,2022-07-08,640,https://i.scdn.co/image/ab67616d0000b2736eee0f3c17cad462ac3d0e4d,640,https://p.scdn.co/mp3-preview/45393b8fbdb0420061a9ea39c4c736d710bd180d?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:30N9iQ35AyTPQXDdoNus8u,The Plan
Thousand Miles,The Kid LAROI,83,Thousand Miles,84,0.376,0.657,-4.658,1,7,0.0768,0.0858,0,0.0884,0.203,80.565,4,164782,spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,79,2022-04-22,640,https://i.scdn.co/image/ab67616d0000b27386322307ddfb6e9c87b82d39,640,https://p.scdn.co/mp3-preview/548d2f35f3fb0e53673c96392a851ec3c5813db6?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,Thousand Miles
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,81,INDUSTRY BABY (feat. Jack Harlow),86,0.736,0.704,-7.409,0,3,0.0615,0.0203,0,0.0501,0.894,149.995,4,212000,spotify:track:27NovPIUIRrOZoCHxABJwK,84,2021-07-23,640,https://i.scdn.co/image/ab67616d0000b273ba26678947112dff3c3158bf,640,https://p.scdn.co/mp3-preview/c1ab4a1b3403a8f6ac578ab5081f295751e9f1ca?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow)
Until I Found You,Stephen Sanchez,74,Until I Found You,90,0.539,0.508,-6.05,1,10,0.0288,0.727,0,0.174,0.227,101.358,3,177720,spotify:track:0T5iIrXA4p5GsubkhuBIKV,88,2021-09-01,640,https://i.scdn.co/image/ab67616d0000b2738792c3e96f8ab97a767c5d0c,640,https://p.scdn.co/mp3-preview/930b8796b8040a10c40f41340c1c72d000beeb26?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:0T5iIrXA4p5GsubkhuBIKV,Until I Found You
Oh No,Kreepa,41,Cold As Ice,58,0.541,0.527,-7.438,0,11,0.147,0.00279,0.000509,0.286,0.429,176.123,4,166504,spotify:track:4qBMiRsJjtm1WR4KyAQqrX,55,2019-12-13,640,https://i.scdn.co/image/ab67616d0000b2738ed24495a6e5910b9c50bf0a,640,https://p.scdn.co/mp3-preview/3c8207e9d7c71163169cf4335314d984ea3cc72f?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:4qBMiRsJjtm1WR4KyAQqrX,Oh No
Cooped Up (with Roddy Ricch),Post Malone,89,Cooped Up,83,0.669,0.773,-5.619,1,0,0.153,0.038,0,0.113,0.377,93.923,4,185857,spotify:track:6Ole34qqbgkZ60IyrcVm7e,74,2022-10-21,640,https://i.scdn.co/image/ab67616d0000b273ab9f26db4d9b84e4159743b4,640,https://p.scdn.co/mp3-preview/7b06cf88b91aad3462b00d700d0dad0cdad5cc65?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6Ole34qqbgkZ60IyrcVm7e,Cooped Up / Return Of The Mack
TO THE MOON,Jnr Choi,63,TO THE MOON,79,0.745,0.65,-11.814,1,2,0.346,0.0451,0.00758,0.111,0.386,144.047,4,152137,spotify:track:5vUnjhBzRJJIAOJPde6zDx,76,2021-11-06,640,https://i.scdn.co/image/ab67616d0000b2739af8418ffb638b3306a07714,640,https://p.scdn.co/mp3-preview/6bcfb68ac0bc2d60ff981ec6e19c9c4ff9e66612?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:5vUnjhBzRJJIAOJPde6zDx,TO THE MOON
Dreamer,Astelle,32,Dreamer,42,0.744,0.848,-5.073,0,9,0.0993,0.0811,1.12e-05,0.0889,0.823,150.056,4,178913,spotify:track:5CvkKN8sEEmCIO5Me3dqBq,40,2022-08-12,640,https://i.scdn.co/image/ab67616d0000b273c4e4060aa4ce07a1d7114185,640,https://p.scdn.co/mp3-preview/69b724b89ed2c26f734b032252a49cc135128711?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:5CvkKN8sEEmCIO5Me3dqBq,Dreamer
Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version,sped up nightcore,63,Left and Right (Charlie Puth) [feat. Jung Kook of BTS] [Sped Up Version],58,0.827,0.456,-9.246,1,5,0.0942,0.622,9.79e-05,0.109,0.689,114.269,4,135978,spotify:track:0mBP9X2gPCuapvpZ7TGDk3,88,2022-06-24,640,https://i.scdn.co/image/ab67616d0000b2731c069c836dc6cd5b34c310fe,640,https://p.scdn.co/mp3-preview/7b872d741e9af03f02569b2f1f5b7e738c573d34?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:0mBP9X2gPCuapvpZ7TGDk3,Left and Right (Feat. Jung Kook of BTS)
Pepas,YES YES,54,Pepas,58,0.691,0.823,-4.974,1,7,0.0626,0.0235,0,0.0781,0.149,125.973,4,134330,spotify:track:6nCGuH4cs03pq76E2joqhE,54,2022-07-15,640,https://i.scdn.co/image/ab67616d0000b273e5dd1d303977d36d7a979d7a,640,https://p.scdn.co/mp3-preview/167c3c9ef0c1a68f9acdfeef5bc9ae2d0909da78?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6nCGuH4cs03pq76E2joqhE,Pepas
Bam Bam (feat. Ed Sheeran),Camila Cabello,82,Familia,83,0.756,0.697,-6.377,1,8,0.0401,0.182,0,0.333,0.956,94.996,4,206071,spotify:track:0QBzMgT7NIeoCYy3sJCof1,84,2022-03-04,640,https://i.scdn.co/image/ab67616d0000b273364ef5f9057092741f667fea,640,https://p.scdn.co/mp3-preview/c7d17a94330a3789118aa4d7a8823fcc1f049125?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:0QBzMgT7NIeoCYy3sJCof1,Bam Bam (feat. Ed Sheeran)
Fever - Remix,XY&O,31,Fever (Remix),0,0.782,0.586,-6.067,0,10,0.0567,0.0608,0.00409,0.115,0.724,120.018,4,156000,spotify:track:6vfgd1ZkrPqLZkU2n1ngoq,49,2022-08-19,640,https://i.scdn.co/image/ab67616d0000b2735879d39287f94890dd3ab8ab,640,https://p.scdn.co/mp3-preview/17b305dce7fcd9008865f809175db836cd2c5277?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6vfgd1ZkrPqLZkU2n1ngoq,Fever - Remix
On My Way!,P.S.,39,On My Way!,54,0.797,0.666,-6.588,0,0,0.0363,0.167,0.000131,0.104,0.855,119.021,4,177080,spotify:track:5iXoVs2PZiuZ9J84MT09bt,50,2022-07-08,640,https://i.scdn.co/image/ab67616d0000b273268c1cf12afa58a172f69dda,640,https://p.scdn.co/mp3-preview/c5d1958bf2116e0808bcdfb0c99bc1ab369aae0f?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:5iXoVs2PZiuZ9J84MT09bt,On My Way!
Another Love,Tom Odell,74,Long Way Down (Deluxe),89,0.445,0.537,-8.532,0,4,0.04,0.695,1.65e-05,0.0944,0.131,122.769,4,244360,spotify:track:7otCGmgp9h4CsR2LhwB6gt,72,2013-09-17,640,https://i.scdn.co/image/ab67616d0000b273c894dbea54813d89d2e92f12,640,https://p.scdn.co/mp3-preview/6538345e9350784c0c56bf12acc6144f94789240?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:7otCGmgp9h4CsR2LhwB6gt,Another Love
Frozen,Madonna,77,Frozen,76,0.706,0.633,-9.584,1,1,0.0419,0.267,0.0192,0.175,0.375,110.005,4,120157,spotify:track:2II03llydk4YnkBBvoYB3B,62,1998-03-03,640,https://i.scdn.co/image/ab67616d0000b273ae2ab7e940779984d3255c09,640,https://p.scdn.co/mp3-preview/5403068ed3d62992c7c9348ced00531db6caab0c?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:2II03llydk4YnkBBvoYB3B,Frozen
Riptide,Viva La Panda,56,Riptide,51,0.621,0.847,-6.108,1,3,0.278,0.0584,1.11e-06,0.109,0.373,101.996,4,172431,spotify:track:0W41SRfxknKwHBc2oaYcAQ,50,2022-08-05,640,https://i.scdn.co/image/ab67616d0000b2736baa186a7bf01a9c4eacf63e,640,https://p.scdn.co/mp3-preview/d945451bf82d1c8edf152d621ab3e7514ea9cf4e?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:0W41SRfxknKwHBc2oaYcAQ,Riptide
Down Under (feat. Colin Hay),Luude,68,Down Under (feat. Colin Hay),72,0.308,0.861,-4.112,0,11,0.172,0.012,0.00103,0.277,0.0386,171.966,4,158774,spotify:track:7AVyve7cFYTd51ha5i9kE2,70,2021-11-19,640,https://i.scdn.co/image/ab67616d0000b273aad205f4a52b5c988d86c25f,640,https://p.scdn.co/mp3-preview/67609a75ab776ccd08455b91706451946e2508ab?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:7AVyve7cFYTd51ha5i9kE2,Down Under (feat. Colin Hay)
Meet Me At Our Spot,THE ANXIETY,65,THE ANXIETY,81,0.773,0.47,-7.93,1,2,0.0299,0.0153,0.000193,0.0851,0.399,94.995,4,162680,spotify:track:07MDkzWARZaLEdKxo6yArG,79,2020-03-13,640,https://i.scdn.co/image/ab67616d0000b273024ea7e883a713a3ad552a71,640,https://p.scdn.co/mp3-preview/2c33a1650a15267b8d3fe052d5ec950574d69afe?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:07MDkzWARZaLEdKxo6yArG,Meet Me At Our Spot
When You're Gone,Paradigm,62,When You're Gone,53,0.783,0.753,-5.003,1,11,0.325,0.0117,0,0.139,0.663,124.036,4,145161,spotify:track:7KFDDJNjF7CpnX1pHU8z8V,53,2022-08-05,640,https://i.scdn.co/image/ab67616d0000b273841cac4d8ecbb06783a2a2e9,640,https://p.scdn.co/mp3-preview/a6f42619fae0453a20a5cc0cfd8a1de0eedad7d2?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:7KFDDJNjF7CpnX1pHU8z8V,When You're Gone
That Bxtch,Taylor Watson,29,That Bxtch,47,0.645,0.681,-5.961,1,4,0.139,0.037,0,0.0783,0.458,163.87,4,142644,spotify:track:6juJT2C2SaaH7S2lbUCh3e,47,2022-04-22,640,https://i.scdn.co/image/ab67616d0000b273bbe81481bcda7e42a21174ac,640,https://p.scdn.co/mp3-preview/2e1244cc8678a809cc1e74051148b2d1e6050197?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6juJT2C2SaaH7S2lbUCh3e,That Bxtch
Long Road,HotBlock Jmoe,34,Long Road,52,0.738,0.685,-8.113,0,10,0.409,0.135,0,0.4,0.663,162.039,4,204000,spotify:track:5KV3n2x5xhuncoftBjaB4j,39,2022-07-14,640,https://i.scdn.co/image/ab67616d0000b2731be49032a6571e829113e6cf,640,https://p.scdn.co/mp3-preview/a7455d5e19051649cb8a1c4788fbcb7ef8fe6ed0?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:5KV3n2x5xhuncoftBjaB4j,Long Road
Without You,John De Sohn,61,Without You,0,0.643,0.745,-5.554,0,5,0.0619,0.0449,0,0.0916,0.461,124.968,4,182613,spotify:track:4kHMIktiFnafGWwXcm5F6k,57,2022-08-19,640,https://i.scdn.co/image/ab67616d0000b2736d3c7f13cfc9bf78bb6c5dfc,640,https://p.scdn.co/mp3-preview/b039225ba37ea11d26bb91073646f64dbb6b2e14?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:4kHMIktiFnafGWwXcm5F6k,Without You
Light Switch,Charlie Puth,83,Light Switch (Instrumental),79,0.69,0.626,-5.693,1,6,0.306,0.105,0.000335,0.0881,0.912,184.009,4,185681,spotify:track:3AVXwaOGCEL8cmBecfcsFJ,73,2022-01-19,640,https://i.scdn.co/image/ab67616d0000b273101337d65122832b36bfc928,640,https://p.scdn.co/mp3-preview/4c94281d33ab4829166ef70d0b2f3e05a136c639?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:3AVXwaOGCEL8cmBecfcsFJ,Light Switch
I Wanna Know,Alex Alexander,46,I Wanna Know,52,0.772,0.754,-4.57,0,9,0.05,0.348,0.397,0.0784,0.88,112.043,4,149787,spotify:track:1QdG8vTxu6odgFKCP9oKNC,49,2022-06-24,640,https://i.scdn.co/image/ab67616d0000b273b7393d9fa9b3596211ef76a2,640,https://p.scdn.co/mp3-preview/0bbe094b98e0af4371bc2f425fd738ca8cc2bed1?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:1QdG8vTxu6odgFKCP9oKNC,I Wanna Know
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,72,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",82,0.792,0.895,-3.112,0,1,0.0589,0.165,0,0.0501,0.794,94.968,4,201526,spotify:track:4QtiVmuA88tPQiCOHZuQ5b,77,2018-02-16,640,https://i.scdn.co/image/ab67616d0000b273775d1e288c04237d896e8357,640,https://p.scdn.co/mp3-preview/f4bd281193a6863ddedd32093405dde261c1426a?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:4QtiVmuA88tPQiCOHZuQ5b,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)"
credit union,Kinrose,41,credit union,32,0.776,0.656,-8.921,0,4,0.13,0.329,0,0.119,0.649,148.95,4,183465,spotify:track:6O60V4oWKJzCyqbvmzzuRx,30,2022-07-28,640,https://i.scdn.co/image/ab67616d0000b273133cc25200ad332260c2e12a,640,https://p.scdn.co/mp3-preview/1e4ed547965fc4a07fc8ab4ca5f923e84349da5c?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6O60V4oWKJzCyqbvmzzuRx,credit union
love nwantiti (ah ah ah),CKay,73,CKay The First,84,0.727,0.739,-3.805,1,8,0.0411,0.365,0.00137,0.161,0.533,93.005,4,145800,spotify:track:2Xr1dTzJee307rmrkt8c0g,82,2019-08-30,640,https://i.scdn.co/image/ab67616d0000b273405fdad252857e01dbced96a,640,https://p.scdn.co/mp3-preview/793f76ef025906b417e69065c587f04725d2e6cd?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah)
Bad Habits,Ed Sheeran,90,Bad Habits,22,0.808,0.897,-3.712,0,11,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,4,231041,spotify:track:3rmo8F54jFF8OgYsqTxm5d,86,2021-10-29,640,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,640,https://p.scdn.co/mp3-preview/043f28a973add316f01a36a68f870f588d1dbb8e?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:3rmo8F54jFF8OgYsqTxm5d,Bad Habits
Leap of Faith,Alex Alexander,46,Leap of Faith,51,0.557,0.802,-4.429,1,0,0.0541,0.00924,0.000708,0.569,0.778,169.893,4,191080,spotify:track:4qgEdEx2VbNCXQOsV9Qem7,39,2022-05-20,640,https://i.scdn.co/image/ab67616d0000b2734529bf96d3f08d0a4477e738,640,https://p.scdn.co/mp3-preview/08d7792ba156d7a5da2e07349f4ddf584f07382a?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:4qgEdEx2VbNCXQOsV9Qem7,Leap of Faith
Ocean Eyes,Farux,45,Ocean Eyes,42,0.729,0.763,-7.677,1,6,0.0345,0.668,0.0264,0.147,0.113,125.989,4,137029,spotify:track:2HvEpDoHYlGDgxgAj3rvaY,45,2022-08-12,640,https://i.scdn.co/image/ab67616d0000b273cf314e7f96c4fbdc683b93f8,640,https://p.scdn.co/mp3-preview/4b77cc1799808763ac796635bfeba00afedef556?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:2HvEpDoHYlGDgxgAj3rvaY,Ocean Eyes
Chaa Chaa Chaa (feat. HoodCelebrityy),Girll Codee,29,Chaa Chaa Chaa (feat. HoodCelebrityy),45,0.808,0.592,-6.382,1,2,0.415,0.431,0,0.426,0.628,139.925,4,185376,spotify:track:5WT4iHghHUOJkbxPq8MryJ,31,2022-05-27,640,https://i.scdn.co/image/ab67616d0000b273a7745ba1813e2544c76c2cdf,640,https://p.scdn.co/mp3-preview/5b18c15698b165576df2c09c45dd146b1f107439?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:5WT4iHghHUOJkbxPq8MryJ,Chaa Chaa Chaa (feat. HoodCelebrityy)
